seed,n_vessels,milp_obj,ga_obj,fcfs_obj,gap_ga_pct,gap_fcfs_pct,ga_impr_over_fcfs_pct,ga_shifting,fcfs_shifting,solve_time_s,status
0,4,23.0,57.25,58.0,148.91304347826087,152.17391304347828,1.293103448275862,0,0,1.38,Optimal
1,8,51.0,196.25,586.5,284.80392156862746,1050.0,66.53878942881501,83,134,9.6,Optimal
2,7,28.0,184.75,263.0,559.8214285714286,839.2857142857142,29.75285171102662,0,152,5.47,Optimal
3,6,27.0,124.25,152.0,360.18518518518516,462.962962962963,18.25657894736842,60,10,1.92,Optimal
4,6,39.0,109.0,476.75,179.4871794871795,1122.4358974358975,77.1368641845831,0,96,2.89,Optimal
5,9,,228.75,249.5,,,8.316633266533065,51,39,0.49,Infeasible
6,6,57.0,163.5,205.75,186.8421052631579,260.96491228070175,20.534629404617256,0,41,2.01,Optimal
7,7,36.0,71.5,369.0,98.61111111111111,925.0,80.62330623306234,0,195,7.8,Optimal
8,11,,509.75,498.25,,,-2.308078273958856,187,107,0.57,Infeasible
9,5,32.0,120.25,87.5,275.78125,173.4375,-37.42857142857143,0,1,1.79,Optimal
10,2,11.0,25.5,14.0,131.8181818181818,27.27272727272727,-82.14285714285714,0,0,0.13,Optimal
11,5,60.0,85.5,203.25,42.5,238.75000000000003,57.93357933579336,0,47,1.54,Optimal
12,4,20.0,35.5,55.0,77.5,175.0,35.45454545454545,0,0,1.22,Optimal
13,5,41.0,145.25,297.5,254.2682926829268,625.609756097561,51.17647058823529,0,70,1.31,Optimal
14,8,48.0,94.75,400.25,97.39583333333334,733.8541666666667,76.32729544034979,0,51,3.89,Optimal
15,6,74.0,61.25,507.25,-17.22972972972973,585.472972972973,87.92508624938394,0,155,3.34,Optimal
16,2,20.0,33.75,55.0,68.75,175.0,38.63636363636363,0,0,0.7,Optimal
17,4,34.0,57.25,288.75,68.38235294117648,749.2647058823529,80.17316017316017,0,17,0.79,Optimal
18,4,38.0,142.5,188.25,275.0,395.39473684210526,24.302788844621514,0,35,2.51,Optimal
19,7,53.0,90.0,390.0,69.81132075471697,635.8490566037735,76.92307692307693,0,92,4.83,Optimal
